Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
realme ,"realme Narzo 50A (Oxygen Blue, 128 GB)  (4 GB RAM)",Oxygen Blue,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 12,499",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WRSXX9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4JGHHADW8.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Blue, 64 GB)  (4 GB RAM)",Oxygen Blue,4 GB,64 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYYI8WMJQ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4UGGFQWYY.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Green, 64 GB)  (4 GB RAM)",Oxygen Green,4 GB,64 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGG30GLXM&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4X6JDZMGG.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO A53s 5G (Ink Black, 128 GB)  (8 GB RAM)",Ink Black,8 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.56 cm (6.52 inch),1600 x 720 Pixels,MediaTek Dimensity 700,Octa Core,5000 mAh Battery,"Rs. 17,990",https://www.flipkart.com/oppo-a53s-5g-ink-black-128-gb/p/itm7dd84770173a5?pid=MOBG25PGZWK3HF8D&lid=LSTMOBG25PGZWK3HF8DIFZBJN&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6Gz4IO2zIfqi2LojFiqEX0yWtaDRKES%2FnL%2Fq3A%2FUiqoOpA%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
APPLE ,"APPLE iPhone 12 (Purple, 128 GB)",Purple,-,128 GB,12MP + 12MP,12MP Front Camera,15.49 cm (6.1 inch),2532 x 1170 Pixels,A14 Bionic Chip with Next Generation Neural Engine,-,5000 mAh Battery,"Rs. 60,199",https://www.flipkart.com/apple-iphone-12-purple-128-gb/p/itmebc78f1cb26d3?pid=MOBG2EPZK5ZD9KYS&lid=LSTMOBG2EPZK5ZD9KYSDUOOA2&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG2EPZK5ZD9KYS.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Green, 128 GB)  (4 GB RAM)",Oxygen Green,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 12,499",https://www.flipkart.com/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H&lid=LSTMOBG6MY4DNG9688HDUZO0K&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4DNG9688H.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
POCO ,"POCO X3 Pro (Steel Blue, 128 GB)  (6 GB RAM)",Steel Blue,6 GB,128 GB,48MP + 8MP + 2MP + 2MP,20MP Front Camera,16.94 cm (6.67 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 860,Octa Core,5000 mAh Battery,"Rs. 16,999",https://www.flipkart.com/poco-x3-pro-steel-blue-128-gb/p/itm92bc566db15d8?pid=MOBGFKNFXBYGHFHJ&lid=LSTMOBGFKNFXBYGHFHJM8QVIC&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBGFKNFXBYGHFHJ.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO F19 Pro+ 5G (Space Silver, 128 GB)  (8 GB RAM)",Space Silver,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Dimensity 800U,Octa Core,5000 mAh Battery,"Rs. 25,990",https://www.flipkart.com/oppo-f19-pro-5g-space-silver-128-gb/p/itmd90acf0f30ad6?pid=MOBGFUZ4ARZ5SPGT&lid=LSTMOBGFUZ4ARZ5SPGT9BXTWL&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GwHGG9jIK4nTLHnxRhIBAV7LHO2Isnqa9GIRAMoYzUGjA%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C3 (Arctic Blue, 32 GB)  (3 GB RAM)",Arctic Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Battery,"Rs. 7,499",https://www.flipkart.com/poco-c3-arctic-blue-32-gb/p/itm815e140cbd2a0?pid=MOBFVQJ5PMVMSJHT&lid=LSTMOBFVQJ5PMVMSJHTM4AH73&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBFVQJ5PMVMSJHT.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C25Y (Metal Grey, 128 GB)  (4 GB RAM)",Metal Grey,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610 Octa Core,Octa Core,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/realme-c25y-metal-grey-128-gb/p/itmf95661bf92458?pid=MOBG6TGRU4FWSZ2K&lid=LSTMOBG6TGRU4FWSZ2K65ZPPD&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6TGRU4FWSZ2K.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C25Y (Glacier Blue, 128 GB)  (4 GB RAM)",Glacier Blue,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610 Octa Core,Octa Core,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/realme-c25y-glacier-blue-128-gb/p/itmf95661bf92458?pid=MOBG6TGRXC8CUJZN&lid=LSTMOBG6TGRXC8CUJZN99ANME&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6TGRXC8CUJZN.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO Reno6 5G (Aurora, 128 GB)  (8 GB RAM)",Aurora,8 GB,128 GB,64MP + 8MP + 2MP,32MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Dimensity 900,Octa Core,5000 mAh Battery,"Rs. 29,990",https://www.flipkart.com/oppo-reno6-5g-aurora-128-gb/p/itmca351c97388b3?pid=MOBG4GFGHHZYUZW8&lid=LSTMOBG4GFGHHZYUZW8J7UKH1&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GxF4bGrW%2FgbFoMFL2l4Yymrfy8K1b2XxdUz96XQkNKWNQ%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
